Small Unit Installation Postcode,Jan 2001 - Installations Quantity,Apr 2001 - Installations Quantity,May 2001 - Installations Quantity,Jun 2001 - Installations Quantity,Jul 2001 - Installations Quantity,Aug 2001 - Installations Quantity,Sep 2001 - Installations Quantity,Oct 2001 - Installations Quantity,Nov 2001 - Installations Quantity,Dec 2001 - Installations Quantity,Jan 2002 - Installations Quantity,Feb 2002 - Installations Quantity,Mar 2002 - Installations Quantity,Apr 2002 - Installations Quantity,May 2002 - Installations Quantity,Jun 2002 - Installations Quantity,Jul 2002 - Installations Quantity,Aug 2002 - Installations Quantity,Sep 2002 - Installations Quantity,Oct 2002 - Installations Quantity,Nov 2002 - Installations Quantity,Dec 2002 - Installations Quantity,Installations Quantity Total
2027,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4
2030,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,6
2031,0,1,0,0,0,0,1,0,3,1,0,0,1,1,0,0,0,1,0,2,0,1,12
2032,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2033,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2034,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
2035,0,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,1,1,2,1,1,0,12
2036,0,2,1,3,0,0,0,1,2,0,0,1,0,1,2,0,0,0,2,1,1,0,17
2037,0,0,0,1,5,1,0,0,5,1,0,0,0,0,0,0,0,9,0,2,0,0,24
2038,0,0,0,2,2,1,0,0,3,0,0,1,1,1,1,1,2,2,1,0,0,1,19
2039,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,7,14
2040,0,0,0,6,0,2,1,4,3,3,2,7,7,2,2,2,8,1,1,2,1,1,55
2041,0,0,0,0,3,1,1,1,1,1,0,0,1,3,6,0,1,3,0,1,0,0,23
2042,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,1,2,0,0,0,0,1,10
2043,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,4
2045,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,5
2046,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,3,0,1,9
2047,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4
2048,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5
2049,0,0,0,0,2,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,1,0,9
2050,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,14,0,0,0,16
2055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4
2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2063,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2064,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3
2065,0,0,1,0,0,0,2,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,9
2066,0,0,0,0,1,2,1,0,1,2,0,0,4,1,4,0,0,0,1,1,2,2,22
2067,0,0,0,0,0,0,1,0,0,0,0,3,3,0,1,3,0,0,1,0,0,0,12
2068,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,2,0,0,0,8
2069,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,1,0,0,0,1,0,0,9
2070,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,2,0,0,1,1,0,1,9
2071,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,2,0,2,0,0,1,1,11
2072,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2073,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,2,0,0,1,1,10
2074,0,0,4,3,0,1,2,0,2,3,0,2,2,3,3,1,0,1,1,1,2,1,32
2075,0,0,1,1,0,0,0,0,0,0,0,1,1,1,3,0,0,0,2,0,1,1,12
2076,0,1,0,0,0,0,0,1,0,2,0,0,2,1,5,1,1,1,0,0,0,0,15
2077,0,0,1,1,3,0,1,1,1,1,2,1,2,1,5,2,0,1,2,2,4,0,31
2079,0,0,0,0,2,3,1,0,1,0,1,0,0,0,1,1,2,3,3,0,1,1,20
2080,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,5
2081,0,1,1,0,0,0,1,0,1,0,2,0,0,1,1,0,0,0,1,2,0,1,12
2082,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,2,0,0,1,8
2083,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
