Small Unit Installation Postcode,Previous Years (2001-2018) - Installations Quantity,Jan 2019 - Installations Quantity,Feb 2019 - Installations Quantity,Mar 2019 - Installations Quantity,Apr 2019 - Installations Quantity,May 2019 - Installations Quantity,Jun 2019 - Installations Quantity,Jul 2019 - Installations Quantity,Aug 2019 - Installations Quantity,Sep 2019 - Installations Quantity,Oct 2019 - Installations Quantity,Nov 2019 - Installations Quantity,Dec 2019 - Installations Quantity,Jan 2020 - Installations Quantity,Feb 2020 - Installations Quantity,Mar 2020 - Installations Quantity,Apr 2020 - Installations Quantity,Installations Quantity Total
3090,27,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,30
3091,31,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,34
3093,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9
3094,24,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,28
3095,121,1,0,1,0,0,3,0,0,1,2,0,0,1,0,0,3,133
3096,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,18
3097,83,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86
3099,145,3,1,1,1,1,0,1,3,1,2,1,0,0,3,0,0,163
3101,34,0,1,0,0,2,2,0,0,1,0,2,0,1,1,0,0,44
3102,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,8
3103,22,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,25
3104,17,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,22
3105,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9
3106,12,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,15
3107,7,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,11
3108,17,0,2,0,1,0,1,0,2,0,0,0,1,0,0,0,0,24
3109,9,0,2,0,2,0,0,1,1,0,0,1,0,0,0,0,0,16
3111,27,1,1,0,1,0,0,2,1,1,0,3,1,0,2,1,0,41
3113,36,1,0,1,0,0,0,0,0,0,1,1,2,0,1,0,0,43
3114,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3115,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
3116,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
3121,22,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,28
3122,24,0,0,0,1,0,0,1,0,0,3,2,0,0,0,0,0,31
3123,7,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,10
3124,22,0,0,0,0,1,0,1,1,1,2,1,1,2,0,0,0,32
3125,10,1,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,17
3126,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11
3127,24,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,29
3128,9,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,12
3129,15,0,0,0,0,0,1,1,1,1,0,2,0,1,0,2,0,24
3130,45,0,0,0,0,0,0,2,3,8,2,0,2,1,0,0,0,63
3131,19,0,1,0,0,0,0,1,0,0,1,0,1,2,0,2,0,27
3132,14,0,0,0,1,0,2,0,0,1,1,0,1,0,0,0,0,20
3133,100,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,103
3134,63,0,0,0,0,0,1,0,1,0,0,2,1,1,0,0,2,71
3135,29,1,1,3,2,0,0,0,0,2,0,0,1,2,0,2,0,43
3136,91,0,1,0,0,0,0,1,0,0,0,1,1,3,1,0,1,100
3137,36,1,0,0,1,29,0,1,0,2,1,0,0,0,1,3,0,75
3138,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
3139,149,2,1,0,0,1,2,2,2,2,5,2,3,2,0,5,0,178
3140,101,1,2,2,0,0,0,0,0,0,2,0,0,0,18,0,3,129
3141,17,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,22
3142,14,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,16
3143,8,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,11
3144,20,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,27
3145,27,0,0,0,0,2,0,2,1,1,0,0,0,0,1,0,0,34
3146,24,0,0,1,1,5,2,0,1,2,0,0,1,0,1,0,0,38
3147,16,0,0,0,2,0,2,1,0,0,2,0,0,1,0,0,0,24
3148,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
3149,28,0,0,3,0,2,1,2,0,0,0,2,1,0,0,1,1,41
3150,42,4,3,0,1,4,4,0,1,3,2,0,1,1,1,2,0,69
3151,7,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,10
3152,257,1,0,1,0,0,3,4,0,1,1,0,0,0,0,0,0,268
3153,20,0,0,0,3,1,0,4,2,3,0,0,0,0,0,1,0,34
3154,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,8
3155,20,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,24
3156,43,1,1,0,2,0,0,1,0,0,1,0,2,0,0,0,0,51
3158,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
3159,11,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,16
3160,35,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,43
3161,11,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,15
3162,11,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,16
3163,20,0,0,0,0,1,0,0,0,2,0,2,1,3,0,0,1,30
3165,9,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,15
3166,24,0,0,1,0,0,0,0,1,2,0,0,0,2,0,1,0,31
3167,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6
3168,17,0,0,1,3,3,2,2,1,1,0,0,0,0,0,0,0,30
3169,2,0,0,8,2,2,0,1,0,0,0,1,0,0,0,0,0,16
3170,10,0,0,0,0,1,0,0,1,2,1,2,0,1,0,0,0,18
3171,8,0,0,1,1,0,1,0,1,2,1,0,0,0,0,0,0,15
3172,13,0,0,0,0,0,0,1,1,1,4,2,1,0,1,0,0,24
3173,115,6,0,1,3,1,2,2,0,2,1,0,1,0,0,0,1,135
3174,28,0,0,0,0,0,0,2,0,1,1,1,1,0,1,1,0,36
3175,96,2,0,14,2,8,6,3,1,1,0,0,2,0,0,0,0,135
3177,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
3178,15,0,0,0,2,0,0,1,0,1,1,1,1,0,0,0,0,22
3179,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3180,12,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,16
3181,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15
3182,8,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,14
3183,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,19
3184,9,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,12
3185,14,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,19
3186,22,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,26
3187,9,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,13
3188,20,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,25
3189,5,0,0,4,4,2,6,1,0,0,1,0,0,0,0,0,0,23
3190,7,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,0,13
3191,9,0,0,0,1,1,1,0,0,2,0,0,1,0,1,0,0,16
3192,24,1,1,0,5,7,8,2,3,1,0,1,0,0,0,0,0,53
3193,34,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,41
3194,66,0,0,1,1,0,0,2,1,1,0,0,1,0,0,1,0,74
3195,35,0,6,4,1,2,2,0,1,0,0,0,1,0,2,1,0,55
3196,121,0,0,3,2,4,1,1,0,0,0,0,0,1,0,1,0,134
3197,11,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,15
3198,79,0,1,0,4,15,6,4,0,0,2,1,2,0,0,1,1,116
3199,70,1,2,2,0,0,0,4,2,1,4,2,1,1,4,0,1,95
3200,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3201,257,32,0,0,1,13,2,0,1,0,0,0,0,0,0,0,0,306
3202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3204,22,0,0,0,1,0,4,2,0,0,1,1,1,1,0,2,0,35
3205,18,0,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,24
3206,16,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,19
3207,24,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,28
3211,18,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,20
3212,68,0,2,0,0,0,0,2,0,0,0,1,0,0,0,2,0,75
3213,34,2,0,0,0,1,2,1,2,1,3,0,0,1,0,1,0,48
3214,21,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,29
3215,77,0,3,1,0,1,0,0,0,0,1,0,0,0,1,1,0,85
3216,225,2,1,0,1,4,2,15,4,4,1,15,4,1,5,2,6,292
3217,25,0,0,4,3,2,0,1,1,2,9,20,7,0,0,0,0,74
3218,42,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,45
3219,59,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,64
3220,97,0,2,0,1,2,0,0,0,0,0,0,0,1,2,0,0,105
3221,72,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,74
3222,82,1,1,2,3,1,0,3,0,3,1,4,1,2,4,2,0,110
3223,57,1,0,3,0,0,1,0,2,0,3,5,1,0,0,4,0,77
3224,32,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,36
3225,33,0,0,0,2,1,3,3,1,1,1,0,2,1,0,1,0,49
3226,64,3,2,2,2,3,2,2,4,2,2,5,2,0,1,165,0,261
3227,64,0,0,0,0,2,0,0,2,0,2,1,1,1,0,0,0,73
3228,147,2,4,3,0,2,8,3,5,6,4,3,7,3,5,2,2,206
3230,243,1,2,2,2,4,0,0,5,2,0,6,0,0,1,1,1,270
3231,166,1,0,3,3,1,1,0,1,0,0,2,2,1,2,0,0,183
3232,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32
3233,279,4,4,3,5,19,10,3,10,10,2,1,3,3,3,1,0,360
3234,9,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,13
3235,15,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,18
3236,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3237,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
3238,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7
3239,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15
3240,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
3241,79,0,1,0,0,2,0,1,0,0,1,0,0,0,1,1,0,86
3242,32,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,1,38
3243,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3249,84,0,1,1,1,3,0,1,3,0,1,1,0,0,0,0,1,97
3250,84,1,1,2,3,1,1,0,0,0,1,0,0,1,0,0,4,99
3251,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
3254,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
3260,92,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,96
3264,69,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,73
3265,85,0,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,91
3266,59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60
3267,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3268,75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,78
3269,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
3270,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18
3271,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3272,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55
3273,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3274,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
3275,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3276,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
3277,45,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,49
3278,12,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,14
3279,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3280,164,0,2,5,1,2,2,2,6,2,1,2,0,2,1,0,1,193
3281,43,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,1,50
3282,43,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,47
3283,43,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,47
3284,51,0,0,1,3,1,0,0,0,0,1,1,2,1,0,0,0,61
3285,26,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,29
3286,22,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,24
3287,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
3289,30,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,34
3292,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3293,30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,32
3294,53,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,58
3300,132,0,2,1,0,0,0,2,0,0,41,1,15,0,1,0,0,195
3301,30,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,32
3302,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20
3303,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
