Small Unit Installation Postcode,Previous Years (2001-2018) - Installations Quantity,Previous Years (2001-2018) - SGU Rated Output In kW,Jan 2019 - Installations Quantity,Jan 2019 - SGU Rated Output In kW,Feb 2019 - Installations Quantity,Feb 2019 - SGU Rated Output In kW,Mar 2019 - Installations Quantity,Mar 2019 - SGU Rated Output In kW,Apr 2019 - Installations Quantity,Apr 2019 - SGU Rated Output In kW,May 2019 - Installations Quantity,May 2019 - SGU Rated Output In kW,Jun 2019 - Installations Quantity,Jun 2019 - SGU Rated Output In kW,Jul 2019 - Installations Quantity,Jul 2019 - SGU Rated Output In kW,Aug 2019 - Installations Quantity,Aug 2019 - SGU Rated Output In kW,Sep 2019 - Installations Quantity,Sep 2019 - SGU Rated Output In kW,Oct 2019 - Installations Quantity,Oct 2019 - SGU Rated Output In kW,Nov 2019 - Installations Quantity,Nov 2019 - SGU Rated Output In kW,Dec 2019 - Installations Quantity,Dec 2019 - SGU Rated Output In kW,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
5353,706,"3,198.731",2,13.110,7,43.035,2,11.615,3,17.285,7,31.665,11,84.570,12,110.355,6,45.165,12,85.280,9,65.695,7,48.025,11,79.680,5,48.625,7,77.810,6,60.555,2,12.870,815,"4,034.071"
5354,150,515.187,1,2.565,1,5.130,2,16.410,2,13.200,0,0.000,1,5.400,2,11.325,0,0.000,1,8.400,1,9.900,2,11.800,4,27.000,1,6.615,1,6.380,2,9.570,0,0.000,171,648.882
5355,"1,438","7,229.279",16,209.200,10,67.000,16,95.070,6,34.310,16,100.930,15,80.635,9,94.700,16,180.120,34,236.835,24,199.310,9,69.575,10,98.235,16,128.965,13,102.305,17,135.225,6,77.390,"1,671","9,139.084"
5356,148,636.431,0,0.000,2,13.200,1,6.555,0,0.000,0,0.000,1,6.300,1,0.540,4,33.630,0,0.000,2,19.200,0,0.000,0,0.000,1,8.250,1,6.615,0,0.000,1,5.950,162,736.671
5357,146,926.605,1,6.600,1,6.160,1,6.050,0,0.000,1,6.270,3,17.005,0,0.000,3,16.080,2,11.700,5,53.830,0,0.000,0,0.000,1,5.040,0,0.000,2,9.900,1,6.600,167,"1,071.840"
5360,216,971.391,1,4.200,1,5.985,0,0.000,1,13.200,0,0.000,4,33.180,3,26.335,1,6.600,2,16.200,3,29.120,0,0.000,3,23.625,1,6.615,0,0.000,2,11.720,0,0.000,238,"1,148.171"
5371,266,"1,504.164",3,26.400,1,6.510,2,10.800,1,6.600,7,35.025,0,0.000,1,6.600,2,13.170,0,0.000,1,10.800,1,2.835,5,56.695,1,5.040,3,26.010,2,10.940,0,0.000,296,"1,721.589"
5372,393,"1,647.376",2,11.640,3,19.705,4,23.810,3,16.315,3,16.005,6,60.515,4,24.600,6,43.830,7,55.210,9,59.545,2,12.700,5,42.180,11,73.785,2,13.200,8,54.385,6,36.665,474,"2,211.466"
5373,671,"2,415.074",2,7.765,10,79.445,8,41.945,4,23.555,2,105.040,6,135.920,4,20.575,5,30.555,12,64.075,9,110.640,4,26.150,6,41.275,5,33.030,5,24.470,9,103.925,2,11.010,764,"3,274.449"
5374,255,"1,003.164",1,6.600,2,55.065,2,13.055,2,12.650,1,6.615,0,0.000,1,6.600,4,71.970,4,23.235,3,19.725,4,34.170,1,11.880,2,13.200,11,174.900,9,148.440,1,6.490,303,"1,607.759"
5381,82,304.125,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,6.050,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2,106.440,1,6.050,1,5.250,87,427.915
5400,158,687.102,2,13.530,1,6.700,3,17.715,3,23.760,1,6.600,1,5.670,1,6.270,0,0.000,3,24.420,1,5.500,3,20.965,0,0.000,4,24.815,3,18.765,3,29.475,2,19.800,189,911.087
5401,122,479.765,1,5.940,2,7.870,1,2.065,0,0.000,0,0.000,4,34.920,2,13.215,1,6.600,1,15.250,2,13.380,2,12.700,1,6.600,0,0.000,3,18.530,0,0.000,2,12.000,144,628.835
5410,61,252.273,1,4.130,0,0.000,1,6.615,1,6.300,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2,17.400,1,6.600,0,0.000,0,0.000,0,0.000,0,0.000,67,293.318
5411,57,233.370,0,0.000,1,6.600,0,0.000,1,5.100,0,0.000,0,0.000,0,0.000,1,6.610,0,0.000,0,0.000,0,0.000,0,0.000,1,4.845,0,0.000,0,0.000,0,0.000,61,256.525
5412,260,"1,032.345",0,0.000,1,7.670,1,6.615,0,0.000,0,0.000,0,0.000,1,6.600,2,16.995,0,0.000,0,0.000,2,9.900,3,111.940,2,113.040,0,0.000,2,11.870,0,0.000,274,"1,316.975"
5413,164,712.955,0,0.000,0,0.000,1,6.600,1,7.920,0,0.000,1,12.600,0,0.000,1,6.600,1,6.380,2,12.900,0,0.000,2,13.125,1,6.600,2,16.680,2,13.215,1,6.600,179,822.175
5414,22,77.062,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2,11.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,24,88.062
5415,35,155.135,0,0.000,1,5.400,0,0.000,0,0.000,1,6.050,0,0.000,0,0.000,1,6.210,0,0.000,1,10.230,1,3.500,1,8.580,0,0.000,0,0.000,1,6.615,0,0.000,42,201.720
5416,43,182.524,0,0.000,0,0.000,0,0.000,2,11.150,0,0.000,0,0.000,1,6.600,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,46,200.274
5417,262,"1,173.915",1,6.600,1,5.130,6,50.735,5,29.780,1,30.250,1,4.095,2,13.200,2,106.600,3,21.945,7,49.965,3,34.890,2,13.200,2,11.325,3,35.810,0,0.000,2,10.460,303,"1,597.900"
5418,21,74.580,1,6.600,1,6.600,0,0.000,1,6.600,0,0.000,0,0.000,0,0.000,0,0.000,1,6.480,0,0.000,0,0.000,0,0.000,1,6.600,0,0.000,0,0.000,0,0.000,26,107.460
5419,36,154.440,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,6.600,1,10.890,1,6.600,0,0.000,0,0.000,2,11.880,0,0.000,0,0.000,0,0.000,0,0.000,41,190.410
5420,18,67.385,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,18,67.385
5421,19,88.310,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,6.050,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,20,94.360
5422,333,"1,245.038",3,18.700,3,21.955,1,14.820,1,6.600,3,19.800,1,5.670,2,11.460,2,10.760,1,6.600,6,62.850,3,19.140,1,6.600,1,4.265,0,0.000,1,6.600,1,6.600,363,"1,467.458"
5431,200,"1,066.045",2,11.100,0,0.000,0,0.000,1,6.600,1,6.600,9,75.000,0,0.000,0,0.000,3,19.500,3,15.240,2,16.500,0,0.000,0,0.000,1,6.600,2,36.840,3,24.600,227,"1,284.625"
5432,51,176.455,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,2.100,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,52,178.555
5433,342,"1,354.918",0,0.000,0,0.000,4,22.790,0,0.000,1,6.600,0,0.000,0,0.000,4,26.400,2,11.190,6,38.640,3,19.815,3,30.360,2,13.200,0,0.000,3,17.000,0,0.000,370,"1,540.913"
5434,82,294.370,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,6.600,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,83,300.970
5440,28,260.445,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,3.300,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,29,263.745
5451,161,742.605,1,3.840,0,0.000,0,0.000,1,4.200,0,0.000,1,3.300,0,0.000,2,17.940,1,6.510,0,0.000,1,1.450,1,6.615,1,6.600,1,10.080,1,3.960,0,0.000,172,807.100
5452,87,638.194,0,0.000,0,0.000,2,16.850,0,0.000,0,0.000,1,8.640,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2,26.640,0,0.000,1,6.600,1,12.600,1,6.600,95,716.124
5453,877,"4,621.522",6,29.835,7,74.520,4,27.870,6,66.900,10,106.532,6,88.490,8,63.675,9,72.220,7,57.610,8,51.005,15,171.510,6,51.620,5,27.015,7,54.940,13,120.360,2,12.000,996,"5,697.624"
5454,60,300.960,0,0.000,0,0.000,0,0.000,1,5.180,0,0.000,1,6.300,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,33.075,0,0.000,0,0.000,1,6.600,0,0.000,64,352.115
5455,9,35.610,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,9,35.610
5460,142,933.593,1,4.950,0,0.000,0,0.000,1,4.680,1,6.270,1,18.000,0,0.000,1,9.450,2,14.895,2,11.655,1,3.150,1,5.500,1,6.650,0,0.000,2,13.200,0,0.000,156,"1,031.993"
