Small Unit Installation Postcode,Previous Years (2001-2018) - Installations Quantity,Jan 2019 - Installations Quantity,Feb 2019 - Installations Quantity,Mar 2019 - Installations Quantity,Apr 2019 - Installations Quantity,May 2019 - Installations Quantity,Jun 2019 - Installations Quantity,Jul 2019 - Installations Quantity,Aug 2019 - Installations Quantity,Sep 2019 - Installations Quantity,Oct 2019 - Installations Quantity,Nov 2019 - Installations Quantity,Dec 2019 - Installations Quantity,Jan 2020 - Installations Quantity,Feb 2020 - Installations Quantity,Mar 2020 - Installations Quantity,Apr 2020 - Installations Quantity,Installations Quantity Total
2121,328,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,329
2122,363,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,369
2123,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2124,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2125,293,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,296
2126,229,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,232
2127,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467
2128,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2130,46,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,50
2131,89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,90
2132,69,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,71
2133,68,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,70
2134,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57
2135,129,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,132
2136,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2137,168,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,171
2138,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
2139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2140,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2141,129,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,131
2142,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
2143,102,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,105
2144,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
2145,799,1,0,1,0,1,1,2,1,1,0,0,1,0,0,0,0,808
2146,274,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,278
2147,767,0,2,0,1,0,0,1,0,3,2,0,0,1,0,1,0,778
2148,875,0,3,3,1,2,1,1,1,2,4,1,1,0,0,0,0,895
2150,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
2151,279,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,283
2152,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182
2153,"1,066",1,2,4,1,3,0,6,4,1,5,3,0,1,1,2,1,"1,101"
2154,664,2,0,1,0,0,2,0,1,0,0,1,0,2,0,0,0,673
2155,497,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1,504
2156,475,0,0,1,2,2,2,1,0,2,0,1,1,0,0,1,2,490
2157,132,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,136
2158,195,0,0,1,2,1,0,0,0,0,0,1,0,3,0,0,0,203
2159,239,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,242
2160,258,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,260
2161,269,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,273
2162,224,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,227
2163,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
2164,403,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,409
2165,444,0,0,0,1,0,1,0,0,1,1,1,1,0,3,0,0,453
2166,561,1,1,1,0,1,3,2,0,0,1,1,2,1,0,0,0,575
2167,183,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,188
2168,445,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,450
2170,"1,176",7,9,11,12,9,9,10,2,1,2,2,2,2,0,1,0,"1,255"
2171,"1,060",3,2,1,1,0,0,2,0,0,1,0,1,0,1,0,0,"1,072"
2172,39,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41
2173,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
2174,13,0,0,0,0,0,1,0,1,1,2,0,0,0,0,1,0,19
2175,47,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,51
2176,595,1,2,0,1,0,1,2,0,1,1,0,1,0,0,0,0,605
2177,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
2178,118,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,120
2179,104,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,108
2185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2190,192,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,196
2191,39,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41
2192,73,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,75
2193,142,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,146
2194,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
2195,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,59
2196,250,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,255
2197,170,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,173
2198,186,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,190
2199,249,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,252
2200,261,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,1,267
2202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2203,78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79
2204,199,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,203
2205,86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,87
2206,258,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,261
2207,249,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,254
2208,130,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,135
2209,203,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,205
2210,521,0,1,1,0,1,0,2,1,2,1,0,1,1,0,0,0,532
2211,312,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,316
2212,214,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,216
2213,544,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,551
2214,99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,101
2215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2216,118,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,120
2217,150,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,152
2218,63,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,66
2219,128,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,131
2220,141,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,143
2221,182,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,185
2222,79,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,81
2223,276,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,278
2224,281,0,0,0,1,1,0,1,0,1,2,0,2,0,0,1,0,290
2225,169,0,0,1,1,1,1,2,0,1,0,1,0,0,0,0,0,177
2226,430,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,436
2227,341,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,347
2228,291,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,294
2229,491,1,0,1,0,1,0,0,1,2,1,1,0,1,0,0,0,500
2230,465,0,0,1,1,1,0,0,1,0,0,2,0,1,1,0,0,473
2231,83,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,85
2232,781,0,0,1,2,2,1,3,2,1,0,0,0,2,1,1,1,798
2233,819,2,0,1,2,2,3,1,4,1,3,0,1,4,0,3,0,846
2234,"1,016",1,0,3,0,5,1,0,3,3,1,2,2,1,0,2,0,"1,040"
2235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2240,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2249,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2250,"1,761",0,6,4,0,5,3,2,2,2,1,2,3,2,0,2,0,"1,795"
2251,"1,207",0,7,6,3,4,1,8,4,1,2,3,3,1,2,3,0,"1,255"
2253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2254,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2256,610,0,1,2,3,0,2,0,1,0,1,0,1,0,0,1,0,622
2257,"1,075",4,6,7,2,3,1,5,3,4,1,4,0,2,1,0,1,"1,119"
2258,211,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,212
2259,"2,336",3,2,2,4,5,1,1,6,3,3,8,5,7,1,2,2,"2,391"
2260,734,0,13,5,4,5,4,4,7,7,5,1,2,2,1,0,0,794
2261,"1,309",2,2,2,5,4,2,2,5,2,4,2,1,0,0,2,0,"1,344"
2262,811,1,4,0,1,2,3,2,1,0,2,0,0,1,0,2,0,830
2263,"1,038",1,3,1,4,3,1,4,1,3,0,3,1,0,0,0,0,"1,063"
